trainer_group,trainer_name,team_number,comment,trainer_type,pokemon_number,level,species,nickname,item,move1,move2,move3,move4,atk_def_dv,spd_spc_dv,hp_exp,atk_exp,def_exp,spd_exp,spc_exp,happiness
JasmineGroup,JASMINE,2,JASMINE (2): If you battle Jasmine second,TRAINERTYPE_ITEM_MOVES,3,35,MAGNETON,,NO_ITEM,THUNDERBOLT,TRI_ATTACK,RAIN_DANCE,THUNDER,,,,,,,,
JasmineGroup,JASMINE,2,JASMINE (2): If you battle Jasmine second,TRAINERTYPE_ITEM_MOVES,4,36,SCIZOR,,FOCUS_BAND,TWINEEDLE,METAL_CLAW,AGILITY,SWORDS_DANCE,,,,,,,,
JasmineGroup,JASMINE,2,JASMINE (2): If you battle Jasmine second,TRAINERTYPE_ITEM_MOVES,5,36,STEELIX,,QUICK_CLAW,CRUNCH,EARTHQUAKE,ROCK_SLIDE,IRON_TAIL,,,,,,,,
JasmineGroup,JASMINE,3,JASMINE (3): If you battle Jasmine third,TRAINERTYPE_ITEM_MOVES,1,37,SKARMORY,,NO_ITEM,SPIKES,DRILL_PECK,SWAGGER,STEEL_WING,,,,,,,,
JasmineGroup,JASMINE,3,JASMINE (3): If you battle Jasmine third,TRAINERTYPE_ITEM_MOVES,2,37,CORSOLA,,NO_ITEM,RAIN_DANCE,SURF,RECOVER,ANCIENTPOWER,,,,,,,,
JasmineGroup,JASMINE,3,JASMINE (3): If you battle Jasmine third,TRAINERTYPE_ITEM_MOVES,3,37,MAGNETON,,NO_ITEM,THUNDERBOLT,TRI_ATTACK,RAIN_DANCE,THUNDER,,,,,,,,
JasmineGroup,JASMINE,3,JASMINE (3): If you battle Jasmine third,TRAINERTYPE_ITEM_MOVES,4,38,SCIZOR,,FOCUS_BAND,TWINEEDLE,METAL_CLAW,AGILITY,SWORDS_DANCE,,,,,,,,
JasmineGroup,JASMINE,3,JASMINE (3): If you battle Jasmine third,TRAINERTYPE_ITEM_MOVES,5,38,STEELIX,,QUICK_CLAW,CRUNCH,EARTHQUAKE,ROCK_SLIDE,IRON_TAIL,,,,,,,,
JasmineGroup,JASMINE,4,JASMINE (4): Rematch,TRAINERTYPE_ITEM_MOVES,1,53,SKARMORY,,NO_ITEM,SPIKES,DRILL_PECK,SWAGGER,STEEL_WING,,,,,,,,
JasmineGroup,JASMINE,4,JASMINE (4): Rematch,TRAINERTYPE_ITEM_MOVES,2,53,CORSOLA,,NO_ITEM,RAIN_DANCE,SURF,RECOVER,ANCIENTPOWER,,,,,,,,
JasmineGroup,JASMINE,4,JASMINE (4): Rematch,TRAINERTYPE_ITEM_MOVES,3,54,MAGNETON,,NO_ITEM,DOUBLE_EDGE,SUBSTITUTE,RAIN_DANCE,THUNDER,,,,,,,,
JasmineGroup,JASMINE,4,JASMINE (4): Rematch,TRAINERTYPE_ITEM_MOVES,4,55,SCIZOR,,FOCUS_BAND,TWINEEDLE,SWORDS_DANCE,STEEL_WING,LIGHT_SCREEN,,,,,,,,
JasmineGroup,JASMINE,4,JASMINE (4): Rematch,TRAINERTYPE_ITEM_MOVES,5,55,STEELIX,,QUICK_CLAW,CRUNCH,EARTHQUAKE,ROCK_SLIDE,IRON_TAIL,,,,,,,,
ChuckGroup,CHUCK,1,CHUCK (1): If you battle Chuck first,TRAINERTYPE_ITEM_MOVES,1,30,HITMONTOP,,NO_ITEM,TRIPLE_KICK,ROLLING_KICK,DIG,PURSUIT,,,,,,,,
ChuckGroup,CHUCK,1,CHUCK (1): If you battle Chuck first,TRAINERTYPE_ITEM_MOVES,2,29,PRIMEAPE,,NO_ITEM,LOW_KICK,KARATE_CHOP,ICE_PUNCH,RAGE,,,,,,,,
ChuckGroup,CHUCK,1,CHUCK (1): If you battle Chuck first,TRAINERTYPE_ITEM_MOVES,3,30,SUDOWOODO,,NO_ITEM,ROCK_SLIDE,THUNDERPUNCH,LOW_KICK,FAINT_ATTACK,,,,,,,,
ChuckGroup,CHUCK,1,CHUCK (1): If you battle Chuck first,TRAINERTYPE_ITEM_MOVES,4,31,POLIWRATH,,BLACKBELT_I,HYPNOSIS,MIND_READER,SURF,DYNAMICPUNCH,,,,,,,,
ChuckGroup,CHUCK,2,CHUCK (2): If you battle Chuck second,TRAINERTYPE_ITEM_MOVES,1,35,HITMONTOP,,NO_ITEM,TRIPLE_KICK,ROLLING_KICK,DIG,PURSUIT,,,,,,,,
ChuckGroup,CHUCK,2,CHUCK (2): If you battle Chuck second,TRAINERTYPE_ITEM_MOVES,2,35,SUDOWOODO,,NO_ITEM,ROCK_SLIDE,THUNDERPUNCH,LOW_KICK,FAINT_ATTACK,,,,,,,,
ChuckGroup,CHUCK,2,CHUCK (2): If you battle Chuck second,TRAINERTYPE_ITEM_MOVES,3,34,PRIMEAPE,,NO_ITEM,LOW_KICK,KARATE_CHOP,ICE_PUNCH,RAGE,,,,,,,,
ChuckGroup,CHUCK,2,CHUCK (2): If you battle Chuck second,TRAINERTYPE_ITEM_MOVES,4,35,PINSIR,,NO_ITEM,ROCK_SMASH,TWINEEDLE,VICEGRIP,HARDEN,,,,,,,,
ChuckGroup,CHUCK,2,CHUCK (2): If you battle Chuck second,TRAINERTYPE_ITEM_MOVES,5,36,POLIWRATH,,BLACKBELT_I,HYPNOSIS,MIND_READER,SURF,DYNAMICPUNCH,,,,,,,,
ChuckGroup,CHUCK,3,CHUCK (3): If you battle Chuck third,TRAINERTYPE_ITEM_MOVES,1,37,HITMONTOP,,NO_ITEM,TRIPLE_KICK,ROLLING_KICK,DIG,PURSUIT,,,,,,,,
ChuckGroup,CHUCK,3,CHUCK (3): If you battle Chuck third,TRAINERTYPE_ITEM_MOVES,2,37,SUDOWOODO,,NO_ITEM,ROCK_SLIDE,THUNDERPUNCH,LOW_KICK,FAINT_ATTACK,,,,,,,,
ChuckGroup,CHUCK,3,CHUCK (3): If you battle Chuck third,TRAINERTYPE_ITEM_MOVES,3,37,PRIMEAPE,,NO_ITEM,DYNAMICPUNCH,KARATE_CHOP,ROCK_SLIDE,RAGE,,,,,,,,
ChuckGroup,CHUCK,3,CHUCK (3): If you battle Chuck third,TRAINERTYPE_ITEM_MOVES,4,37,PINSIR,,NO_ITEM,SUBMISSION,TWINEEDLE,STRENGTH,SWORDS_DANCE,,,,,,,,
ChuckGroup,CHUCK,3,CHUCK (3): If you battle Chuck third,TRAINERTYPE_ITEM_MOVES,5,38,POLIWRATH,,BLACKBELT_I,ICE_PUNCH,MIND_READER,SURF,DYNAMICPUNCH,,,,,,,,
ChuckGroup,CHUCK,4,CHUCK (4): Rematch,TRAINERTYPE_ITEM_MOVES,1,54,HITMONTOP,,SCOPE_LENS,TRIPLE_KICK,DOUBLE_KICK,DIG,PURSUIT,,,,,,,,
ChuckGroup,CHUCK,4,CHUCK (4): Rematch,TRAINERTYPE_ITEM_MOVES,2,53,SUDOWOODO,,NO_ITEM,ROCK_SLIDE,THUNDERPUNCH,LOW_KICK,FAINT_ATTACK,,,,,,,,
ChuckGroup,CHUCK,4,CHUCK (4): Rematch,TRAINERTYPE_ITEM_MOVES,3,54,PRIMEAPE,,NO_ITEM,CROSS_CHOP,THUNDERPUNCH,ROCK_SLIDE,MEDITATE,,,,,,,,
ChuckGroup,CHUCK,4,CHUCK (4): Rematch,TRAINERTYPE_ITEM_MOVES,4,53,PINSIR,,NO_ITEM,SUBMISSION,TWINEEDLE,STRENGTH,SWORDS_DANCE,,,,,,,,
ChuckGroup,CHUCK,4,CHUCK (4): Rematch,TRAINERTYPE_ITEM_MOVES,5,55,POLIWRATH,,GOLD_BERRY,SURF,DYNAMICPUNCH,BELLY_DRUM,BODY_SLAM,,,,,,,,
ClairGroup,CLAIR,1,CLAIR (1),TRAINERTYPE_ITEM_MOVES,1,42,DRAGONAIR,,NO_ITEM,THUNDER_WAVE,THUNDERBOLT,FLAMETHROWER,DRAGONBREATH,,,,,,,,
ClairGroup,CLAIR,1,CLAIR (1),TRAINERTYPE_ITEM_MOVES,2,43,GYARADOS,,FOCUS_BAND,BITE,WATERFALL,FLY,TWISTER,,,,,,,,
ClairGroup,CLAIR,1,CLAIR (1),TRAINERTYPE_ITEM_MOVES,3,43,LAPRAS,,MINT_BERRY,SURF,ICE_BEAM,BODY_SLAM,REST,,,,,,,,
ClairGroup,CLAIR,1,CLAIR (1),TRAINERTYPE_ITEM_MOVES,4,44,DRAGONAIR,,GOLD_BERRY,THUNDER_WAVE,THUNDERBOLT,ICE_BEAM,DRAGONBREATH,,,,,,,,
ClairGroup,CLAIR,1,CLAIR (1),TRAINERTYPE_ITEM_MOVES,5,45,KINGDRA,,LEFTOVERS,SMOKESCREEN,SURF,HYPER_BEAM,DRAGONBREATH,,,,,,,,
ClairGroup,CLAIR,2,CLAIR (2): Rematch,TRAINERTYPE_ITEM_MOVES,1,54,DRAGONAIR,,GOLD_BERRY,THUNDER_WAVE,THUNDERBOLT,FLAMETHROWER,DRAGONBREATH,,,,,,,,
ClairGroup,CLAIR,2,CLAIR (2): Rematch,TRAINERTYPE_ITEM_MOVES,2,53,GYARADOS,,FOCUS_BAND,BITE,SURF,FLY,TWISTER,,,,,,,,
ClairGroup,CLAIR,2,CLAIR (2): Rematch,TRAINERTYPE_ITEM_MOVES,3,53,LAPRAS,,MIRACLEBERRY,SURF,ICE_BEAM,BODY_SLAM,REST,,,,,,,,
ClairGroup,CLAIR,2,CLAIR (2): Rematch,TRAINERTYPE_ITEM_MOVES,4,54,DRAGONAIR,,GOLD_BERRY,THUNDER_WAVE,THUNDERBOLT,ICE_BEAM,DRAGONBREATH,,,,,,,,
ClairGroup,CLAIR,2,CLAIR (2): Rematch,TRAINERTYPE_ITEM_MOVES,5,55,KINGDRA,,LEFTOVERS,AGILITY,HYDRO_PUMP,ICE_BEAM,DRAGONBREATH,,,,,,,,
Rival1Group,?,1,RIVAL1 (1),TRAINERTYPE_NORMAL,1,5,CHIKORITA,,,,,,,,,,,,,,
Rival1Group,?,2,RIVAL1 (2),TRAINERTYPE_NORMAL,1,5,CYNDAQUIL,,,,,,,,,,,,,,
Rival1Group,?,3,RIVAL1 (3),TRAINERTYPE_NORMAL,1,5,TOTODILE,,,,,,,,,,,,,,
Rival1Group,?,4,RIVAL1 (4),TRAINERTYPE_NORMAL,1,15,ZUBAT,,,,,,,,,,,,,,
Rival1Group,?,4,RIVAL1 (4),TRAINERTYPE_NORMAL,2,16,LARVITAR,,,,,,,,,,,,,,
Rival1Group,?,4,RIVAL1 (4),TRAINERTYPE_NORMAL,3,18,BAYLEEF,,,,,,,,,,,,,,
Rival1Group,?,5,RIVAL1 (5),TRAINERTYPE_NORMAL,1,15,ZUBAT,,,,,,,,,,,,,,
Rival1Group,?,5,RIVAL1 (5),TRAINERTYPE_NORMAL,2,16,LARVITAR,,,,,,,,,,,,,,
Rival1Group,?,5,RIVAL1 (5),TRAINERTYPE_NORMAL,3,18,QUILAVA,,,,,,,,,,,,,,
Rival1Group,?,6,RIVAL1 (6),TRAINERTYPE_NORMAL,1,15,ZUBAT,,,,,,,,,,,,,,
Rival1Group,?,6,RIVAL1 (6),TRAINERTYPE_NORMAL,2,16,LARVITAR,,,,,,,,,,,,,,
Rival1Group,?,6,RIVAL1 (6),TRAINERTYPE_NORMAL,3,18,CROCONAW,,,,,,,,,,,,,,
Rival1Group,?,7,RIVAL1 (7),TRAINERTYPE_MOVES,1,22,LARVITAR,,BITE,ROCK_THROW,SCREECH,NO_MOVE,,,,,,,,,
Rival1Group,?,7,RIVAL1 (7),TRAINERTYPE_MOVES,2,23,REMORAID,,BUBBLEBEAM,AURORA_BEAM,PSYBEAM,NO_MOVE,,,,,,,,,
Rival1Group,?,7,RIVAL1 (7),TRAINERTYPE_MOVES,3,22,GOLBAT,,BITE,CONFUSE_RAY,LEECH_LIFE,GUST,,,,,,,,,
Rival1Group,?,7,RIVAL1 (7),TRAINERTYPE_MOVES,4,24,BAYLEEF,,MEGA_DRAIN,RAZOR_LEAF,TACKLE,LEECH_SEED,,,,,,,,,
Rival1Group,?,8,RIVAL1 (8),TRAINERTYPE_MOVES,1,22,LARVITAR,,BITE,ROCK_THROW,SCREECH,NO_MOVE,,,,,,,,,
Rival1Group,?,8,RIVAL1 (8),TRAINERTYPE_MOVES,2,23,WEEPINBELL,,RAZOR_LEAF,GROWTH,SLEEP_POWDER,STUN_SPORE,,,,,,,,,
Rival1Group,?,8,RIVAL1 (8),TRAINERTYPE_MOVES,3,22,GOLBAT,,BITE,CONFUSE_RAY,LEECH_LIFE,GUST,,,,,,,,,
Rival1Group,?,8,RIVAL1 (8),TRAINERTYPE_MOVES,4,24,QUILAVA,,FLAME_WHEEL,DIG,QUICK_ATTACK,SMOKESCREEN,,,,,,,,,
Rival1Group,?,9,RIVAL1 (9),TRAINERTYPE_MOVES,1,22,LARVITAR,,BITE,ROCK_THROW,SCREECH,NO_MOVE,,,,,,,,,
Rival1Group,?,9,RIVAL1 (9),TRAINERTYPE_MOVES,2,23,HOUNDOUR,,EMBER,BITE,SMOG,ROAR,,,,,,,,,
Rival1Group,?,9,RIVAL1 (9),TRAINERTYPE_MOVES,3,22,GOLBAT,,BITE,CONFUSE_RAY,LEECH_LIFE,GUST,,,,,,,,,
Rival1Group,?,9,RIVAL1 (9),TRAINERTYPE_MOVES,4,24,CROCONAW,,BITE,ICE_PUNCH,WATER_GUN,MUD_SLAP,,,,,,,,,
Rival1Group,?,10,RIVAL1 (10),TRAINERTYPE_MOVES,1,39,PUPITAR,,THRASH,ROCK_SLIDE,SCREECH,BITE,,,,,,,,,
Rival1Group,?,10,RIVAL1 (10),TRAINERTYPE_MOVES,2,39,HOUNDOOM,,FLAMETHROWER,IRON_TAIL,BITE,DOUBLE_TEAM,,,,,,,,,
Rival1Group,?,10,RIVAL1 (10),TRAINERTYPE_MOVES,3,38,OCTILLERY,,OCTAZOOKA,PSYBEAM,AURORA_BEAM,NO_MOVE,,,,,,,,,
Rival1Group,?,10,RIVAL1 (10),TRAINERTYPE_MOVES,4,39,GOLBAT,,TOXIC,DOUBLE_TEAM,CONFUSE_RAY,WING_ATTACK,,,,,,,,,
Rival1Group,?,10,RIVAL1 (10),TRAINERTYPE_MOVES,5,40,MEGANIUM,,SYNTHESIS,RAZOR_LEAF,SUNNY_DAY,BODY_SLAM,,,,,,,,,
Rival1Group,?,11,RIVAL1 (11),TRAINERTYPE_MOVES,1,39,PUPITAR,,THRASH,ROCK_SLIDE,SCREECH,BITE,,,,,,,,,
Rival1Group,?,11,RIVAL1 (11),TRAINERTYPE_MOVES,2,39,VICTREEBEL,,SLUDGE,RAZOR_LEAF,SLEEP_POWDER,GROWTH,,,,,,,,,
